case_id,n_lumps,lump_size,lump_amp,sigma,CHO_AUC
1,15,3,3,1,0.9971
2,15,3,3,2,0.9821
3,15,3,3,3,0.932
4,15,3,1,1,1.0
5,15,3,1,2,0.9997
6,15,3,1,3,0.9844
7,15,6,3,1,0.9984
8,15,6,3,2,0.9803
9,15,6,3,3,0.96
10,15,6,1,1,1.0
11,15,6,1,2,1.0
12,15,6,1,3,0.9918
13,100,3,3,1,0.9898
14,100,3,3,2,0.932
15,100,3,3,3,0.8289
16,100,3,1,1,0.9989
17,100,3,1,2,0.9955
18,100,3,1,3,0.9557
19,100,6,3,1,0.9974
20,100,6,3,2,0.9247
21,100,6,3,3,0.8951
22,100,6,1,1,0.9993
23,100,6,1,2,0.9901
24,100,6,1,3,0.9586
